,ID,T_REC,USFLUX,ERRVF,MEANJZH,ERRMIH,TOTUSJH,ERRTUI,ABSNJZH,ERRTAI,MEANPOT,ERRMPOT,TOTPOT,ERRTPOT
82,2.000e+00,2010.12.14_14:12:00.000_TAI,6.146e+21,4.259e+18,-1.286e-02,7.611e-04,3.495e+02,6.752e+00,1.141e+02,6.752e+00,7.725e+03,1.487e+01,9.102e+22,1.753e+20
83,2.000e+00,2010.12.14_14:24:00.000_TAI,6.019e+21,4.066e+18,-1.295e-02,7.448e-04,3.376e+02,6.492e+00,1.129e+02,6.492e+00,7.804e+03,1.478e+01,9.035e+22,1.711e+20
84,2.000e+00,2010.12.14_14:36:00.000_TAI,6.110e+21,4.181e+18,-1.209e-02,7.555e-04,3.334e+02,6.639e+00,1.062e+02,6.639e+00,7.674e+03,1.481e+01,8.956e+22,1.728e+20
85,2.000e+00,2010.12.14_14:48:00.000_TAI,6.056e+21,4.266e+18,-1.253e-02,7.660e-04,3.231e+02,6.667e+00,1.091e+02,6.667e+00,7.727e+03,1.483e+01,8.932e+22,1.714e+20
86,2.000e+00,2010.12.14_15:00:00.000_TAI,6.070e+21,4.115e+18,-1.285e-02,7.467e-04,3.283e+02,6.517e+00,1.122e+02,6.517e+00,7.715e+03,1.437e+01,8.943e+22,1.666e+20
87,2.000e+00,2010.12.14_15:12:00.000_TAI,6.231e+21,4.392e+18,-1.305e-02,7.157e-04,3.487e+02,6.508e+00,1.186e+02,6.508e+00,7.561e+03,1.431e+01,9.131e+22,1.729e+20
88,2.000e+00,2010.12.14_15:24:00.000_TAI,6.222e+21,4.373e+18,-1.336e-02,7.145e-04,3.479e+02,6.506e+00,1.217e+02,6.506e+00,7.557e+03,1.396e+01,9.138e+22,1.688e+20
89,2.000e+00,2010.12.14_15:36:00.000_TAI,6.315e+21,4.520e+18,-1.260e-02,7.183e-04,3.477e+02,6.599e+00,1.157e+02,6.599e+00,7.542e+03,1.416e+01,9.202e+22,1.727e+20
90,2.000e+00,2010.12.14_15:48:00.000_TAI,6.387e+21,4.427e+18,-1.315e-02,7.012e-04,3.519e+02,6.522e+00,1.223e+02,6.522e+00,7.475e+03,1.371e+01,9.236e+22,1.694e+20
91,2.000e+00,2010.12.14_16:00:00.000_TAI,6.473e+21,4.378e+18,-1.263e-02,6.723e-04,3.533e+02,6.374e+00,1.197e+02,6.374e+00,7.251e+03,1.328e+01,9.129e+22,1.672e+20
92,2.000e+00,2010.12.14_16:12:00.000_TAI,6.512e+21,4.503e+18,-1.212e-02,6.964e-04,3.514e+02,6.579e+00,1.145e+02,6.579e+00,7.329e+03,1.373e+01,9.195e+22,1.723e+20
93,2.000e+00,2010.12.14_16:24:00.000_TAI,6.601e+21,4.438e+18,-1.176e-02,6.716e-04,3.540e+02,6.491e+00,1.136e+02,6.491e+00,7.130e+03,1.339e+01,9.151e+22,1.719e+20
94,2.000e+00,2010.12.14_16:36:00.000_TAI,6.724e+21,4.384e+18,-1.057e-02,6.239e-04,3.589e+02,6.320e+00,1.071e+02,6.320e+00,6.812e+03,1.234e+01,9.166e+22,1.661e+20
95,2.000e+00,2010.12.14_16:48:00.000_TAI,6.827e+21,4.490e+18,-1.064e-02,6.058e-04,3.670e+02,6.339e+00,1.114e+02,6.339e+00,6.609e+03,1.205e+01,9.183e+22,1.674e+20
96,2.000e+00,2010.12.14_17:00:00.000_TAI,6.850e+21,4.377e+18,-1.134e-02,6.134e-04,3.581e+02,6.337e+00,1.172e+02,6.337e+00,6.624e+03,1.246e+01,9.090e+22,1.710e+20
